,language,architecture,n_models,n_multilingual,mean_n_langs,n_monolingual,n_goldfish,n_english
0,mco,autoregressive,1,0,0,,0,0,0
0,mco,bidirectional,1,1,1,468.0,0,0,1
0,cmn,autoregressive,0,0,0,,0,0,0
0,cmn,bidirectional,0,0,0,,0,0,0
0,glk,autoregressive,6,3,0,1.0,3,3,0
0,glk,bidirectional,6,3,3,307.3333333333333,0,0,3
0,cdo,autoregressive,2,0,0,,0,0,0
0,cdo,bidirectional,2,2,2,227.0,0,0,2
0,fao,autoregressive,55,51,17,30.529411764705884,34,4,17
0,fao,bidirectional,55,4,4,232.75,0,0,4
0,ceb,autoregressive,47,35,31,81.02857142857142,4,4,31
0,ceb,bidirectional,47,12,12,143.0,0,0,12
0,ssw,autoregressive,30,28,25,107.5,3,3,25
0,ssw,bidirectional,30,2,2,239.5,0,0,2
0,smo,autoregressive,13,11,7,110.81818181818181,4,4,7
0,smo,bidirectional,13,2,2,277.5,0,0,2
0,hch,autoregressive,1,0,0,,0,0,0
0,hch,bidirectional,1,1,1,468.0,0,0,1
0,dyu,autoregressive,6,5,2,128.2,3,3,2
0,dyu,bidirectional,6,1,1,468.0,0,0,1
0,nus,autoregressive,1,0,0,,0,0,0
0,nus,bidirectional,1,1,1,468.0,0,0,1
0,bbc,autoregressive,7,6,4,108.66666666666667,2,2,4
0,bbc,bidirectional,7,1,1,468.0,0,0,1
0,que,autoregressive,50,43,39,78.4186046511628,4,10,33
0,que,bidirectional,50,7,7,176.57142857142858,0,0,7
0,bam,autoregressive,107,106,103,52.113207547169814,3,3,103
0,bam,bidirectional,107,1,1,468.0,0,0,1
0,ctu,autoregressive,4,3,3,213.33333333333334,0,0,2
0,ctu,bidirectional,4,1,1,468.0,0,0,1
0,lua,autoregressive,10,9,0,1.0,9,3,0
0,lua,bidirectional,10,1,1,468.0,0,0,1
0,alt,autoregressive,6,5,2,128.2,3,3,2
0,alt,bidirectional,6,1,1,468.0,0,0,1
0,bxr,autoregressive,10,7,7,35.142857142857146,0,3,4
0,bxr,bidirectional,10,3,3,307.3333333333333,0,0,3
0,ayr,autoregressive,4,3,3,2.0,0,3,0
0,ayr,bidirectional,4,1,1,468.0,0,0,1
0,rop,autoregressive,1,0,0,,0,0,0
0,rop,bidirectional,1,1,1,468.0,0,0,1
0,stq,autoregressive,5,2,2,319.0,0,0,2
0,stq,bidirectional,5,3,3,307.3333333333333,0,0,3
0,swa,autoregressive,328,255,204,40.666666666666664,51,4,201
0,swa,bidirectional,328,73,69,53.80821917808219,4,0,64
0,lmo,autoregressive,10,7,3,47.714285714285715,4,4,3
0,lmo,bidirectional,10,3,3,307.3333333333333,0,0,3
0,zai,autoregressive,2,1,0,1.0,1,0,0
0,zai,bidirectional,2,1,1,468.0,0,0,1
0,nav,autoregressive,7,4,4,240.25,0,0,4
0,nav,bidirectional,7,3,3,307.3333333333333,0,0,3
0,rcf,autoregressive,3,2,2,319.0,0,0,2
0,rcf,bidirectional,3,1,1,468.0,0,0,1
0,pap,autoregressive,12,9,5,108.0,4,4,5
0,pap,bidirectional,12,3,3,307.3333333333333,0,0,3
0,bod,autoregressive,24,20,12,70.05,8,4,12
0,bod,bidirectional,24,4,4,252.25,0,0,4
0,bqc,autoregressive,5,4,2,160.0,2,2,2
0,bqc,bidirectional,5,1,1,468.0,0,0,1
0,kjh,autoregressive,5,4,2,160.0,2,2,2
0,kjh,bidirectional,5,1,1,468.0,0,0,1
0,fry,autoregressive,58,35,31,107.25714285714285,4,4,31
0,fry,bidirectional,58,23,23,121.26086956521739,0,0,23
0,fil,autoregressive,37,36,32,35.27777777777778,4,4,30
0,fil,bidirectional,37,1,1,468.0,0,0,1
0,bel,autoregressive,99,69,65,77.69565217391305,4,4,64
0,bel,bidirectional,99,30,30,104.2,0,0,29
0,csb,autoregressive,3,0,0,,0,0,0
0,csb,bidirectional,3,3,3,307.3333333333333,0,0,3
0,lus,autoregressive,7,6,2,107.0,4,4,2
0,lus,bidirectional,7,1,1,468.0,0,0,1
0,lav,autoregressive,214,168,161,50.029761904761905,7,10,153
0,lav,bidirectional,214,46,41,78.80434782608695,5,0,41
0,aoj,autoregressive,1,0,0,,0,0,0
0,aoj,bidirectional,1,1,1,468.0,0,0,1
0,vie,autoregressive,1507,1304,1150,18.529141104294478,154,4,1144
0,vie,bidirectional,1507,203,94,21.004926108374384,109,0,89
0,tca,autoregressive,3,2,2,319.0,0,0,2
0,tca,bidirectional,3,1,1,468.0,0,0,1
0,kon,autoregressive,15,14,10,92.71428571428571,4,3,10
0,kon,bidirectional,15,1,1,468.0,0,0,1
0,bik,autoregressive,8,7,4,92.14285714285714,3,5,2
0,bik,bidirectional,8,1,1,468.0,0,0,1
0,lrc,autoregressive,5,2,2,319.0,0,0,2
0,lrc,bidirectional,5,3,3,307.3333333333333,0,0,3
0,als,autoregressive,7,4,4,2.0,0,4,0
0,als,bidirectional,7,3,3,307.3333333333333,0,0,3
0,orm,autoregressive,67,48,44,80.20833333333333,4,7,40
0,orm,bidirectional,67,19,19,122.42105263157895,0,0,19
0,hak,autoregressive,3,0,0,,0,0,0
0,hak,bidirectional,3,3,3,307.3333333333333,0,0,3
0,mkd,autoregressive,88,56,45,86.14285714285714,11,4,45
0,mkd,bidirectional,88,32,32,105.125,0,0,32
0,tzm,autoregressive,1,0,0,,0,0,0
0,tzm,bidirectional,1,1,1,468.0,0,0,1
0,lij,autoregressive,9,6,3,55.5,3,3,3
0,lij,bidirectional,9,3,3,307.3333333333333,0,0,3
0,bak,autoregressive,36,25,17,70.8,8,6,15
0,bak,bidirectional,36,11,11,136.36363636363637,0,0,9
0,hye,autoregressive,93,61,56,83.24590163934427,5,4,56
0,hye,bidirectional,93,32,32,103.59375,0,0,32
0,naq,autoregressive,1,0,0,,0,0,0
0,naq,bidirectional,1,1,1,468.0,0,0,1
0,tat,autoregressive,37,18,13,78.94444444444444,5,4,13
0,tat,bidirectional,37,19,19,86.73684210526316,0,0,18
0,mos,autoregressive,5,4,0,1.0,4,3,0
0,mos,bidirectional,5,1,1,468.0,0,0,1
0,msa,autoregressive,426,368,312,27.20108695652174,56,20,294
0,msa,bidirectional,426,58,49,57.275862068965516,9,0,48
0,ven,autoregressive,8,6,3,137.33333333333334,3,3,3
0,ven,bidirectional,8,2,2,239.5,0,0,2
0,ile,autoregressive,7,4,4,129.5,0,0,4
0,ile,bidirectional,7,3,3,307.3333333333333,0,0,3
0,tir,autoregressive,27,19,9,60.421052631578945,10,4,8
0,tir,bidirectional,27,8,3,59.875,5,0,1
0,gsw,autoregressive,9,7,2,91.85714285714286,5,4,2
0,gsw,bidirectional,9,2,2,245.5,0,0,2
0,lao,autoregressive,191,167,158,39.16167664670659,9,4,158
0,lao,bidirectional,191,24,23,108.41666666666667,1,0,23
0,mrj,autoregressive,7,4,4,160.5,0,2,2
0,mrj,bidirectional,7,3,3,307.3333333333333,0,0,3
0,sah,autoregressive,13,8,3,80.75,5,4,3
0,sah,bidirectional,13,5,5,204.2,0,0,4
0,tgk,autoregressive,42,31,26,89.7741935483871,5,4,26
0,tgk,bidirectional,42,11,10,143.36363636363637,1,0,10
0,zlm,autoregressive,1,0,0,,0,0,0
0,zlm,bidirectional,1,1,1,468.0,0,0,1
0,pir,autoregressive,1,0,0,,0,0,0
0,pir,bidirectional,1,1,1,468.0,0,0,1
0,che,autoregressive,20,11,8,109.18181818181819,3,3,8
0,che,bidirectional,20,9,9,165.11111111111111,0,0,9
0,ltz,autoregressive,43,37,29,81.37837837837837,8,4,28
0,ltz,bidirectional,43,6,5,183.33333333333334,1,0,5
0,djk,autoregressive,3,2,2,319.0,0,0,2
0,djk,bidirectional,3,1,1,468.0,0,0,1
0,hmn,autoregressive,7,6,2,107.0,4,4,2
0,hmn,bidirectional,7,1,1,468.0,0,0,1
0,mar,autoregressive,298,231,216,46.16450216450217,15,4,212
0,mar,bidirectional,298,67,48,53.28358208955224,19,0,40
0,mzh,autoregressive,1,0,0,,0,0,0
0,mzh,bidirectional,1,1,1,468.0,0,0,1
0,koi,autoregressive,5,2,2,319.0,0,0,2
0,koi,bidirectional,5,3,3,307.3333333333333,0,0,3
0,tzh,autoregressive,3,2,2,319.0,0,0,2
0,tzh,bidirectional,3,1,1,468.0,0,0,1
0,nld,autoregressive,915,762,678,23.41994750656168,84,4,673
0,nld,bidirectional,915,153,80,27.013071895424837,73,0,75
